Match_id,Team 1,Team 2,Winners_inng,Venue,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Year
2990,Zimbabwe,Sri Lanka,2,Harare,"Jun 9, 2010",Sri Lanka,Zimbabwe,Home,Away,First,Second,2010
2991,Sri Lanka,Pakistan,1,Dambulla,"Jun 15, 2010",Sri Lanka,Sri Lanka,Home,Away,First,Second,2010
2992,Netherlands,Scotland,2,Rotterdam,"Jun 15, 2010",Netherlands,Netherlands,Home,Away,Second,First,2010
2993,Bangladesh,India,2,Dambulla,"Jun 16, 2010",India,Sri Lanka,Neutral,Neutral,First,Second,2010
2994,Ireland,Australia,1,Dublin,"Jun 17, 2010",Australia,Ireland,Home,Away,Second,First,2010
2995,Sri Lanka,Bangladesh,1,Dambulla,"Jun 18, 2010",Sri Lanka,Sri Lanka,Home,Away,First,Second,2010
2996,India,Pakistan,2,Dambulla,"Jun 19, 2010",India,Sri Lanka,Neutral,Neutral,Second,First,2010
2997,Scotland,England,2,Edinburgh,"Jun 19, 2010",England,Scotland,Home,Away,First,Second,2010
2998,Bangladesh,Pakistan,1,Dambulla,"Jun 21, 2010",Pakistan,Sri Lanka,Neutral,Neutral,Second,First,2010
2999,Sri Lanka,India,2,Dambulla,"Jun 22, 2010",Sri Lanka,Sri Lanka,Home,Away,Second,First,2010
3000,England,Australia,2,Southampton,"Jun 22, 2010",England,England,Home,Away,Second,First,2010
3001,Sri Lanka,India,1,Dambulla,"Jun 24, 2010",India,Sri Lanka,Home,Away,Second,First,2010
3002,England,Australia,2,Cardiff,"Jun 24, 2010",England,England,Home,Away,Second,First,2010
3003,England,Australia,2,Manchester,"Jun 27, 2010",England,England,Home,Away,Second,First,2010
3004,England,Australia,1,The Oval,"Jun 30, 2010",Australia,England,Home,Away,Second,First,2010
3005,Afghanistan,Canada,2,The Hague,"Jul 1, 2010",Afghanistan,Netherlands,Neutral,Neutral,Second,First,2010
3006,Ireland,Kenya,2,Rotterdam,"Jul 1, 2010",Ireland,Netherlands,Neutral,Neutral,Second,First,2010
3007,Netherlands,Scotland,2,Amstelveen,"Jul 1, 2010",Scotland,Netherlands,Home,Away,First,Second,2010
3008,Afghanistan,Ireland,1,Rotterdam,"Jul 3-4, 2010",Ireland,Netherlands,Neutral,Neutral,Second,First,2010
3009,Canada,Scotland,1,Amstelveen,"Jul 3, 2010",Scotland,Netherlands,Neutral,Neutral,Second,First,2010
3010,Netherlands,Kenya,1,The Hague,"Jul 3, 2010",Netherlands,Netherlands,Home,Away,First,Second,2010
3011,England,Australia,1,Lord's,"Jul 3, 2010",Australia,England,Home,Away,Second,First,2010
3012,Afghanistan,Kenya,2,Amstelveen,"Jul 5, 2010",Afghanistan,Netherlands,Neutral,Neutral,Second,First,2010
3013,Ireland,Scotland,2,The Hague,"Jul 5, 2010",Ireland,Netherlands,Neutral,Neutral,Second,First,2010
3014,Netherlands,Canada,2,Rotterdam,"Jul 5, 2010",Netherlands,Netherlands,Home,Away,Second,First,2010
3015,Canada,Ireland,2,Amstelveen,"Jul 7, 2010",Ireland,Netherlands,Neutral,Neutral,First,Second,2010
3016,Kenya,Scotland,1,Rotterdam,"Jul 7, 2010",Scotland,Netherlands,Neutral,Neutral,Second,First,2010
3017,Netherlands,Afghanistan,2,The Hague,"Jul 7, 2010",Afghanistan,Netherlands,Home,Away,First,Second,2010
3018,England,Bangladesh,2,Nottingham,"Jul 8, 2010",England,England,Home,Away,Second,First,2010
3019,Afghanistan,Scotland,2,Rotterdam,"Jul 9, 2010",Scotland,Netherlands,Neutral,Neutral,First,Second,2010
3020,Canada,Kenya,2,Schiedam,"Jul 9, 2010",Canada,Netherlands,Neutral,Neutral,Second,First,2010
3021,Netherlands,Ireland,1,Amstelveen,"Jul 9, 2010",Ireland,Netherlands,Home,Away,Second,First,2010
3022,Canada,Kenya,2,Schiedam,"Jul 10, 2010",Canada,Netherlands,Neutral,Neutral,Second,First,2010
3023,Ireland,Scotland,2,Amstelveen,"Jul 10, 2010",Ireland,Netherlands,Neutral,Neutral,Second,First,2010
3024,Netherlands,Afghanistan,2,Rotterdam,"Jul 10, 2010",Afghanistan,Netherlands,Home,Away,First,Second,2010
3025,England,Bangladesh,1,Bristol,"Jul 10, 2010",Bangladesh,England,Home,Away,Second,First,2010
3026,England,Bangladesh,1,Birmingham,"Jul 12, 2010",England,England,Home,Away,First,Second,2010
3027,Ireland,Bangladesh,2,Belfast,"Jul 15, 2010",Ireland,Ireland,Home,Away,Second,First,2010
3028,Ireland,Bangladesh,2,Belfast,"Jul 16, 2010",Bangladesh,Ireland,Home,Away,First,Second,2010
3029,Bangladesh,Netherlands,2,Glasgow,"Jul 20, 2010",Netherlands,Scotland,Neutral,Neutral,First,Second,2010
3030,India,New Zealand,1,Dambulla,"Aug 10, 2010",New Zealand,Sri Lanka,Neutral,Neutral,Second,First,2010
3031,Sri Lanka,New Zealand,2,Dambulla,"Aug 13, 2010",Sri Lanka,Sri Lanka,Home,Away,Second,First,2010
3032,Sri Lanka,India,2,Dambulla,"Aug 16, 2010",India,Sri Lanka,Home,Away,First,Second,2010
3033,Scotland,Afghanistan,2,Ayr,"Aug 16, 2010",Afghanistan,Scotland,Home,Away,First,Second,2010
3034,Ireland,Netherlands,1,Dublin,"Aug 16, 2010",Ireland,Ireland,Home,Away,First,Second,2010
3035,Scotland,Afghanistan,2,Ayr,"Aug 17, 2010",Scotland,Scotland,Home,Away,Second,First,2010
3036,Ireland,Netherlands,2,Dublin,"Aug 18, 2010",Ireland,Ireland,Home,Away,Second,First,2010
3038,Sri Lanka,India,2,Dambulla,"Aug 22, 2010",Sri Lanka,Sri Lanka,Home,Away,Second,First,2010
3039,India,New Zealand,1,Dambulla,"Aug 25, 2010",India,Sri Lanka,Neutral,Neutral,First,Second,2010
3040,Sri Lanka,India,1,Dambulla,"Aug 28, 2010",Sri Lanka,Sri Lanka,Home,Away,First,Second,2010
3041,Canada,Ireland,1,Toronto,"Sep 6, 2010",Canada,Canada,Home,Away,First,Second,2010
3042,Canada,Ireland,1,Toronto,"Sep 7, 2010",Ireland,Canada,Home,Away,Second,First,2010
3043,England,Pakistan,1,Chester,"Sep 10, 2010",England,England,Home,Away,First,Second,2010
3044,England,Pakistan,2,Leeds,"Sep 12, 2010",England,England,Home,Away,Second,First,2010
3045,England,Pakistan,1,The Oval,"Sep 17, 2010",Pakistan,England,Home,Away,Second,First,2010
3046,England,Pakistan,1,Lord's,"Sep 20, 2010",Pakistan,England,Home,Away,Second,First,2010
3047,England,Pakistan,1,Southampton,"Sep 22, 2010",England,England,Home,Away,First,Second,2010
3048,Zimbabwe,Ireland,2,Harare,"Sep 26, 2010",Zimbabwe,Zimbabwe,Home,Away,Second,First,2010
3049,Zimbabwe,Ireland,2,Harare,"Sep 28, 2010",Zimbabwe,Zimbabwe,Home,Away,Second,First,2010
3050,Zimbabwe,Ireland,1,Harare,"Sep 30, 2010",Ireland,Zimbabwe,Home,Away,Second,First,2010
3051,Bangladesh,New Zealand,1,Dhaka,"Oct 5, 2010",Bangladesh,Bangladesh,Home,Away,First,Second,2010
3052,Kenya,Afghanistan,1,Nairobi,"Oct 7, 2010",Kenya,Kenya,Home,Away,First,Second,2010
3053,Kenya,Afghanistan,2,Nairobi,"Oct 9, 2010",Afghanistan,Kenya,Home,Away,First,Second,2010
3054,Bangladesh,New Zealand,2,Dhaka,"Oct 11, 2010",Bangladesh,Bangladesh,Home,Away,Second,First,2010
3055,Kenya,Afghanistan,2,Nairobi,"Oct 11, 2010",Kenya,Kenya,Home,Away,Second,First,2010
3056,Bangladesh,New Zealand,1,Dhaka,"Oct 14, 2010",Bangladesh,Bangladesh,Home,Away,First,Second,2010
3057,South Africa,Zimbabwe,1,Bloemfontein,"Oct 15, 2010",South Africa,South Africa,Home,Away,First,Second,2010
3058,Bangladesh,New Zealand,1,Dhaka,"Oct 17, 2010",Bangladesh,Bangladesh,Home,Away,First,Second,2010
3059,South Africa,Zimbabwe,2,Potchefstroom,"Oct 17, 2010",South Africa,South Africa,Home,Away,Second,First,2010
3060,India,Australia,2,Visakhapatnam,"Oct 20, 2010",India,India,Home,Away,Second,First,2010
3061,South Africa,Zimbabwe,1,Benoni,"Oct 22, 2010",South Africa,South Africa,Home,Away,First,Second,2010
3062,Pakistan,South Africa,2,Abu Dhabi,"Oct 29, 2010",South Africa,U.A.E.,Neutral,Neutral,First,Second,2010
3063,Pakistan,South Africa,2,Abu Dhabi,"Oct 31, 2010",Pakistan,U.A.E.,Neutral,Neutral,Second,First,2010
3064,Pakistan,South Africa,1,Dubai,"Nov 2, 2010",South Africa,U.A.E.,Neutral,Neutral,Second,First,2010
3065,Australia,Sri Lanka,2,Melbourne,"Nov 3, 2010",Sri Lanka,Australia,Home,Away,First,Second,2010
3066,Australia,Sri Lanka,1,Sydney,"Nov 5, 2010",Sri Lanka,Australia,Home,Away,Second,First,2010
3067,Pakistan,South Africa,2,Dubai,"Nov 5, 2010",Pakistan,U.A.E.,Neutral,Neutral,Second,First,2010
3068,Australia,Sri Lanka,2,Brisbane,"Nov 7, 2010",Australia,Australia,Home,Away,Second,First,2010
3069,Pakistan,South Africa,1,Dubai,"Nov 8, 2010",South Africa,U.A.E.,Neutral,Neutral,Second,First,2010
3070,India,New Zealand,1,Guwahati,"Nov 28, 2010",India,India,Home,Away,First,Second,2010
3071,Bangladesh,Zimbabwe,1,Dhaka,"Dec 1, 2010",Zimbabwe,Bangladesh,Home,Away,Second,First,2010
3072,India,New Zealand,2,Jaipur,"Dec 1, 2010",India,India,Home,Away,Second,First,2010
3073,Bangladesh,Zimbabwe,2,Dhaka,"Dec 3, 2010",Bangladesh,Bangladesh,Home,Away,Second,First,2010
3074,India,New Zealand,2,Vadodara,"Dec 4, 2010",India,India,Home,Away,Second,First,2010
3075,Bangladesh,Zimbabwe,1,Dhaka,"Dec 6, 2010",Bangladesh,Bangladesh,Home,Away,First,Second,2010
3076,India,New Zealand,2,Bengaluru,"Dec 7, 2010",India,India,Home,Away,Second,First,2010
3077,India,New Zealand,2,Chennai,"Dec 10, 2010",India,India,Home,Away,Second,First,2010
3078,Bangladesh,Zimbabwe,2,Chittagong,"Dec 12, 2010",Bangladesh,Bangladesh,Home,Away,Second,First,2010
3079,South Africa,India,1,Durban,"Jan 12, 2011",South Africa,South Africa,Home,Away,First,Second,2011
3080,South Africa,India,1,Johannesburg,"Jan 15, 2011",India,South Africa,Home,Away,Second,First,2011
3081,Australia,England,2,Melbourne,"Jan 16, 2011",Australia,Australia,Home,Away,Second,First,2011
3082,South Africa,India,2,Cape Town,"Jan 18, 2011",India,South Africa,Home,Away,First,Second,2011
3083,Australia,England,1,Hobart,"Jan 21, 2011",Australia,Australia,Home,Away,First,Second,2011
3084,South Africa,India,1,Port Elizabeth,"Jan 21, 2011",South Africa,South Africa,Home,Away,First,Second,2011
3085,New Zealand,Pakistan,2,Wellington,"Jan 22, 2011",New Zealand,New Zealand,Home,Away,Second,First,2011
3086,Australia,England,2,Sydney,"Jan 23, 2011",Australia,Australia,Home,Away,Second,First,2011
3087,South Africa,India,1,Centurion,"Jan 23, 2011",South Africa,South Africa,Home,Away,First,Second,2011
3089,Australia,England,1,Adelaide,"Jan 26, 2011",England,Australia,Home,Away,Second,First,2011
3090,New Zealand,Pakistan,1,Christchurch,"Jan 29, 2011",Pakistan,New Zealand,Home,Away,Second,First,2011
3091,Australia,England,1,Brisbane,"Jan 30, 2011",Australia,Australia,Home,Away,First,Second,2011
3093,New Zealand,Pakistan,2,Napier,"Feb 1, 2011",Pakistan,New Zealand,Home,Away,First,Second,2011
3094,Australia,England,2,Sydney,"Feb 2, 2011",Australia,Australia,Home,Away,Second,First,2011
3095,New Zealand,Pakistan,1,Hamilton,"Feb 3, 2011",Pakistan,New Zealand,Home,Away,Second,First,2011
3096,Sri Lanka,West Indies,2,Colombo,"Feb 3, 2011",Sri Lanka,Sri Lanka,Home,Away,Second,First,2011
3097,New Zealand,Pakistan,1,Auckland,"Feb 5, 2011",New Zealand,New Zealand,Home,Away,First,Second,2011
3098,Australia,England,1,Perth,"Feb 6, 2011",Australia,Australia,Home,Away,First,Second,2011
3099,Sri Lanka,West Indies,1,Colombo,"Feb 6, 2011",Sri Lanka,Sri Lanka,Home,Away,First,Second,2011
3100,Bangladesh,India,1,Dhaka,"Feb 19, 2011",India,Bangladesh,Home,Away,Second,First,2011
3101,Kenya,New Zealand,2,Chennai,"Feb 20, 2011",New Zealand,India,Neutral,Neutral,First,Second,2011
3102,Sri Lanka,Canada,1,Hambantota,"Feb 20, 2011",Sri Lanka,Sri Lanka,Home,Away,First,Second,2011
3103,Australia,Zimbabwe,1,Ahmedabad,"Feb 21, 2011",Australia,India,Neutral,Neutral,First,Second,2011
